"Subset026-3_6_6[2]_10[2]_[f]16_I.png";"604";"249"
"Subset026-3_11_2_3[2]_[f]26_I.png";"584";"330"
"Subset026-3_6_2_3_1_1_+[3][2]_[f]10_I.png";"574";"251"
"Subset026-3_6_3[2]_2_1[2]_[f]12_I.png";"456";"525"
"Subset026-3_8[2]_5_3_5_2[2]_[f]24_I.png";"503";"240"
"Subset026-3_8[2]_3_10_1[2]_[f]18_I.png";"596";"154"
"Subset026-3_13_7[2]_3_7[2]_[f]34_I.png";"540";"336"
"Subset026-3_6_1_2[2]_[f]6_I.png";"573";"151"
"Subset026-3_6_5_1_2[2]_[f]14_I.png";"608";"251"
"Subset026-3_8[2]_3_11[2]_[f]20_I.png";"567";"172"
"Subset026-3_11_10_2[2]_[f]28_I.png";"566";"230"
"Subset026-3_16_3_4[2]_1[2]_[f]36_I.png";"605";"231"
"Subset026-3_11_9_2_I.png";"520";"250"
"Subset026-3_13_3[2]_1_5[2]_[f]30_I.png";"540";"260"
"Subset026-3_8[2]_5_3_2_+[3][2]_[f]21_I[2].png";"569";"234"
"Subset026-3_13_3[2]_1_4[2]_[f]29_I.png";"538";"240"
"Subset026-3_5_3_9_1[2]_[f]3_I.png";"616";"315"
"Subset026-3_5_5_2_c[2]_[f]5_I.png";"616";"258"
"Subset026-3_5_3_10_d[2]_[f]4_I.png";"616";"237"
"Subset026-3_6_2_3_1_1_+[2]_[f]9_I.png";"495";"175"
"Subset026-3_4_2[2]_2_2[2]_[f]1_I.png";"224";"159"
"Subset026-3_6_1_2[3]_[f]7_I.png";"584";"39"
"Subset026-3_16_3_4[2]_1[3]_[f]37_I.png";"605";"231"
"Subset026-3_8[2]_5_3_5_4[2]_[f]25_I.png";"537";"664"
"Subset026-3_6_2_2_3[2]_[f]8_I.png";"553";"402"
"Subset026-3_16_3_3[2]_4[2]_[f]35_I.png";"440";"236"
"Subset026-3_8[2]_5_3_2_+[3][2]_[f]21_I.png";"558";"184"
"Subset026-3_6_3[2]_2_5_1[2]_[f]13_I.png";"394";"360"
"Subset026-3_8[2]_5_3_3[2]_[f]22_I.png";"552";"231"
"Subset026-3_13_5[2]_3[4]_[f]32_I.png";"553";"194"
"Subset026-3_8[2]_5_3_4_+[2][2]_[f]23_I.png";"561";"221"
"Subset026-3_6_5_2_5[2]_[f]15_I.png";"537";"338"
"Subset026-3_4_2[2]_3_2_2[2]_[f]2_I.png";"529";"308"
"Subset026-3_13_6[2]_2[2]_3[2]_[f]33_I.png";"563";"271"
"Subset026-3_8[2]_3_3[2]_[f]17_I.png";"561";"321"
"Subset026-3_8[2]_3_10_1[3]_[f]19_I.png";"592";"154"
"Subset026-3_13_3[2]_1_5[3]_[f]31_I.png";"547";"269"
"Subset026-3_6_4_3_1[2]_[f]13a_I.png";"564";"464"
"Subset026-3_6_5_1_2[2]_[f]14_I[2].png";"608";"251"
